,name,partNumber,price,url
0,"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681429/10002/-1
1,"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681430/10002/-1
2,"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681429/10002/-1?NttInput=10067353
3,"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681432/10002/-1
4,"
		Chevrolet Performance GM 350ci/290 SBC V8 Base Crate Engine
	",809-19355658,"
$2,628.66
",https://www.jegs.com/i/Chevrolet-Performance/809/19355658/10002/-1
5,"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681432/10002/-1?NttInput=12530282
6,"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681430/10002/-1?NttInput=12568758
7,"
		Chevrolet Performance 5.7L/350ci L31 Long Block Crate Engine with Vortec Heads for GM Trucks/Vans
	",809-12681431,"
$2,250.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681431/10002/-1
8,name,partNumber,price,url
9,"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681429/10002/-1
10,"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681432/10002/-1?NttInput=12530282
11,"
		Chevrolet Performance GM 350ci/290 SBC V8 Base Crate Engine
	",809-19355658,"
$2,628.66
",https://www.jegs.com/i/Chevrolet-Performance/809/19355658/10002/-1
12,"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681432/10002/-1
13,"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681429/10002/-1?NttInput=10067353
14,"
		Chevrolet Performance 5.7L/350ci L31 Long Block Crate Engine with Vortec Heads for GM Trucks/Vans
	",809-12681431,"
$2,250.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681431/10002/-1
15,"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681430/10002/-1?NttInput=12568758
16,"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681430/10002/-1
0,5.3L 323 CID GM Engine,,,https://www.karlkustoms.com/p/12632260-5-3L-323-CID-GM-Engine/837
1,5.7L 350 L31-R Long Block Assembly,,,https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12530283-Long-Block/1888
2,Chevrolet Performance 5.3L 323 CID GM Engine,Part Number: 19331650,"$5,768.76",https://www.karlkustoms.com/p/19331650-323-CID-LYS-LMG-GM-Engine/46455
3,"GM O.E. Replacement 5.7L Vortec 350 1/2 ton Truck/SUV Crate Engine,Related Products ",Part Number: 12681432,"$2,000.44",https://www.karlkustoms.com/p/12681432-5-7L-350-GM-OE-Replacement-L31-Vortec-Truck-Crate-Engine/46909
4,"Chevrolet Performance 350/290 Base Crate Engine,Related Products ",Part Number: 19355658,"$2,504.40",https://www.karlkustoms.com/p/19355658-Chevrolet-Performance-350-290-308HP-Crate-Engine/46823
5,"12681429 5.7L 350 c.i. SBC Crate Engine + Level 3 Install Kit,Related Products ",Part Number: 12681429K3,"$3,449.94",https://www.karlkustoms.com/p/12681429K3-5-7L-350-SBC-Engine-Level-3-Install/46826
6,GM 12681430 5.7L 350 TBI Gen 1 Truck Crate Engine,Part Number: 12681430,"$2,399.00",https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12681430-Small-Block/46821
