name,partNumber,price,url
5.3L 323 CID GM Engine,,,https://www.karlkustoms.com/p/12632260-5-3L-323-CID-GM-Engine/837
5.7L 350 L31-R Long Block Assembly,,,https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12530283-Long-Block/1888
Chevrolet Performance 5.3L 323 CID GM Engine,Part Number: 19331650,"$5,768.76",https://www.karlkustoms.com/p/19331650-323-CID-LYS-LMG-GM-Engine/46455
"GM O.E. Replacement 5.7L Vortec 350 1/2 ton Truck/SUV Crate Engine,Related Products ",Part Number: 12681432,"$2,000.44",https://www.karlkustoms.com/p/12681432-5-7L-350-GM-OE-Replacement-L31-Vortec-Truck-Crate-Engine/46909
"Chevrolet Performance 350/290 Base Crate Engine,Related Products ",Part Number: 19355658,"$2,504.40",https://www.karlkustoms.com/p/19355658-Chevrolet-Performance-350-290-308HP-Crate-Engine/46823
"12681429 5.7L 350 c.i. SBC Crate Engine + Level 3 Install Kit,Related Products ",Part Number: 12681429K3,"$3,449.94",https://www.karlkustoms.com/p/12681429K3-5-7L-350-SBC-Engine-Level-3-Install/46826
GM 12681430 5.7L 350 TBI Gen 1 Truck Crate Engine,Part Number: 12681430,"$2,399.00",https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12681430-Small-Block/46821
6.2L Gen IV 379 CID GM Engine,Part Number: 19329865,"$6,263.82",https://www.karlkustoms.com/p/19329865-6-2L-Gen-IV-379-CID-GM-Engine-2007-2008/46566
name,partNumber,price,url
Chevrolet Performance 5.3L 323 CID GM Engine,Part Number: 19331650,"$5,768.76",https://www.karlkustoms.com/p/19331650-323-CID-LYS-LMG-GM-Engine/46455
5.3L 323 CID GM Engine,,,https://www.karlkustoms.com/p/12632260-5-3L-323-CID-GM-Engine/837
5.7L 350 L31-R Long Block Assembly,,,https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12530283-Long-Block/1888
"12681429 5.7L 350 c.i. SBC Crate Engine + Level 3 Install Kit,Related Products ",Part Number: 12681429K3,"$3,449.94",https://www.karlkustoms.com/p/12681429K3-5-7L-350-SBC-Engine-Level-3-Install/46826
"Chevrolet Performance 350/290 Base Crate Engine,Related Products ",Part Number: 19355658,"$2,504.40",https://www.karlkustoms.com/p/19355658-Chevrolet-Performance-350-290-308HP-Crate-Engine/46823
GM 12681430 5.7L 350 TBI Gen 1 Truck Crate Engine,Part Number: 12681430,"$2,399.00",https://www.karlkustoms.com/p/350-5-7L-Chevrolet-Performance-Truck-Crate-Engine-12681430-Small-Block/46821
"GM O.E. Replacement 5.7L Vortec 350 1/2 ton Truck/SUV Crate Engine,Related Products ",Part Number: 12681432,"$2,000.44",https://www.karlkustoms.com/p/12681432-5-7L-350-GM-OE-Replacement-L31-Vortec-Truck-Crate-Engine/46909
6.2L Gen IV 379 CID GM Engine,Part Number: 19329865,"$6,263.82",https://www.karlkustoms.com/p/19329865-6-2L-Gen-IV-379-CID-GM-Engine-2007-2008/46566
