name,partNumber,price,url
19355658 - Chevrolet Performance SBC 350CID 290HP Base Long Block Crate Engine,"19355658,19355658","  $2,504.40",https://paceperformance.com/i-6255330-19355658-chevrolet-performance-sbc-350cid-290hp-base-long-block-crate-engine.html
"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
12530283 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) 3/4 & 1 Ton Replacement Engine,"12530283,12530283","  $2,069.88",https://paceperformance.com/i-23836612-12530283-new-gm-1996-2000-5-7l-350-cid-vin-r-3-4-1-ton-replacement-engine.html
12681432 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) Replacement Engine,"12681432,12681432","  $2,019.88",https://paceperformance.com/i-23836611-12681432-new-gm-1996-2000-5-7l-350-cid-vin-r-replacement-engine.html
10066039 - Replacement Gm Oil Pan For 10067353 Universal 350 Engine,"10066039,10066039",  $139.42,https://paceperformance.com/i-6218525-10066039-replacement-gm-oil-pan-for-10067353-universal-350-engine.html
"12632260 - New Gm 2010 - 2013 5.3L, 323 Cid, 8 Cylinder Engine","12632260,12632260","  $3,554.28",https://paceperformance.com/i-5135038-12632260-new-gm-2010-2013-5-3l-323-cid-8-cylinder-engine.html
19329865 - Engine,"19329865,19329865","  $3,961.92",https://paceperformance.com/i-23837802-19329865-engine.html
19331650 - Remanufactured Engine,"19331650,19331650","  $3,800.00",https://paceperformance.com/i-23849780-19331650-remanufactured-engine.html
name,partNumber,price,url
"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
"12681430 - 5.7L 350Cid (Lo5-K) 1987-1995 Chevy & Gmc Full Size Trucks & ""G""  Van-Up To 7,200 Gvw","12681430,12681430","  $2,099.99",https://paceperformance.com/i-6485019-12681430-5-7l-350cid-lo5-k-1987-1995-chevy-gmc-full-size-trucks-g-van-up-to-7200-gvw.html
12681432 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) Replacement Engine,"12681432,12681432","  $2,019.88",https://paceperformance.com/i-23836611-12681432-new-gm-1996-2000-5-7l-350-cid-vin-r-replacement-engine.html
10066039 - Replacement Gm Oil Pan For 10067353 Universal 350 Engine,"10066039,10066039",  $139.42,https://paceperformance.com/i-6218525-10066039-replacement-gm-oil-pan-for-10067353-universal-350-engine.html
12530283 - New Gm 1996 - 2000 5.7L 350 Cid (Vin R) 3/4 & 1 Ton Replacement Engine,"12530283,12530283","  $2,069.88",https://paceperformance.com/i-23836612-12530283-new-gm-1996-2000-5-7l-350-cid-vin-r-3-4-1-ton-replacement-engine.html
19355658 - Chevrolet Performance SBC 350CID 290HP Base Long Block Crate Engine,"19355658,19355658","  $2,504.40",https://paceperformance.com/i-6255330-19355658-chevrolet-performance-sbc-350cid-290hp-base-long-block-crate-engine.html
19329865 - Engine,"19329865,19329865","  $3,961.92",https://paceperformance.com/i-23837802-19329865-engine.html
19331650 - Remanufactured Engine,"19331650,19331650","  $3,800.00",https://paceperformance.com/i-23849780-19331650-remanufactured-engine.html
"12632260 - New Gm 2010 - 2013 5.3L, 323 Cid, 8 Cylinder Engine","12632260,12632260","  $3,554.28",https://paceperformance.com/i-5135038-12632260-new-gm-2010-2013-5-3l-323-cid-8-cylinder-engine.html
